file_name,start_timestamp,extract_frame,color_resolution,depth_resolution
2022_08_20_09_38_52,333555,1014,"'(720, 1280)'","'(576, 640)'"
2022_09_16_18_53_15,333555,298,"'(720, 1280)'","'(576, 640)'"
2022_09_16_18_59_56,333555,4271,"'(720, 1280)'","'(576, 640)'"
2022_09_16_19_11_27,333555,5259,"'(720, 1280)'","'(576, 640)'"
2022_09_16_20_11_09,333555,5600,"'(720, 1280)'","'(576, 640)'"
2022_09_18_11_33_02,333555,4677,"'(720, 1280)'","'(576, 640)'"
2022_09_25_10_46_49,333555,1562,"'(720, 1280)'","'(576, 640)'"
2022_09_25_10_50_19,333555,3415,"'(720, 1280)'","'(576, 640)'"
2022_12_16_18_54_38,333555,4312,"'(720, 1280)'","'(576, 640)'"
2022_12_16_19_07_07,333555,3109,"'(720, 1280)'","'(576, 640)'"
2023_01_30_19_27_27,333555,629,"'(720, 1280)'","'(576, 640)'"
2023_01_30_19_27_58,333555,829,"'(720, 1280)'","'(576, 640)'"
2023_03_16_19_16_51,333555,1357,"'(720, 1280)'","'(576, 640)'"
2023_03_16_19_17_55,333555,1774,"'(720, 1280)'","'(576, 640)'"
2023_03_31_19_49_55,333555,5835,"'(720, 1280)'","'(576, 640)'"
2023_04_06_19_27_12,333555,13267,"'(720, 1280)'","'(576, 640)'"
2023_05_04_16_35_05,333555,3417,"'(720, 1280)'","'(576, 640)'"
